iter	Passed	Remaining
463	753	870
464	754	867
465	755	865
466	756	863
467	757	861
468	759	859
469	760	857
470	761	855
471	762	853
472	763	850
473	764	848
474	765	846
475	766	843
476	767	841
477	768	839
478	769	836
479	770	834
480	771	832
481	773	830
482	774	829
483	775	826
484	776	824
485	778	823
486	779	821
487	780	819
488	782	817
489	783	815
490	784	813
491	785	810
492	786	808
493	787	806
494	789	805
495	790	803
496	792	801
497	793	799
498	794	797
499	795	795
500	797	794
501	798	792
502	800	790
503	801	788
504	803	787
505	805	786
506	806	784
507	807	782
508	808	780
509	810	778
510	811	776
511	812	774
512	813	772
513	814	770
514	815	767
515	816	765
516	817	764
517	819	762
518	820	760
519	821	758
520	822	756
521	823	754
522	824	752
523	825	749
524	826	747
525	827	745
526	828	743
527	829	741
528	830	739
529	831	737
530	833	736
531	834	734
532	835	732
533	836	730
534	838	728
535	839	726
536	840	724
537	841	722
538	843	721
539	844	719
540	846	717
541	848	716
542	849	714
543	850	712
544	851	710
545	852	709
546	854	707
547	855	705
548	856	703
549	857	701
550	858	699
551	859	697
552	860	695
553	862	694
554	863	692
555	864	690
556	865	688
557	867	686
558	868	684
559	868	682
560	870	680
561	871	678
562	872	676
563	873	674
564	874	672
565	874	670
566	876	669
567	878	667
568	879	666
569	880	664
570	882	662
571	883	660
572	884	658
573	885	656
574	886	655
575	887	653
576	888	651
577	889	649
578	890	647
579	891	645
580	893	644
581	894	642
582	896	640
583	897	639
584	898	637
585	899	635
586	900	633
587	901	631
588	902	629
589	903	627
590	904	626
591	905	624
592	907	623
593	909	621
594	910	619
595	911	617
596	912	616
597	913	614
598	914	612
599	915	610
600	916	608
601	917	606
602	918	604
603	919	602
604	921	601
605	923	600
606	924	598
607	925	596
608	926	594
609	927	593
610	928	591
611	929	589
612	930	587
613	931	585
614	932	583
615	933	581
616	934	580
617	936	578
618	938	577
619	939	575
620	940	574
621	941	572
622	943	570
623	944	568
624	945	567
625	946	565
626	947	563
627	949	562
628	950	560
629	951	558
630	953	557
631	954	555
632	956	554
633	957	552
634	958	550
635	959	549
636	960	547
637	962	545
638	964	544
639	965	542
640	967	542
641	969	540
642	970	538
643	972	537
644	974	536
645	975	534
646	976	533
647	978	531
648	980	530
649	982	529
650	984	527
651	986	526
652	987	524
653	988	523
654	990	521
655	991	519
656	992	518
657	994	516
658	995	515
659	997	513
660	999	512
661	1000	510
662	1001	509
663	1002	507
664	1003	505
665	1005	504
666	1006	502
667	1007	500
668	1008	499
669	1009	497
670	1010	495
671	1014	495
672	1016	493
673	1017	491
674	1018	490
675	1020	488
676	1022	487
677	1023	486
678	1024	484
679	1028	484
680	1030	482
681	1031	481
682	1033	479
683	1034	478
684	1036	476
685	1037	475
686	1039	473
687	1040	471
688	1042	470
689	1044	469
690	1045	467
691	1046	465
692	1048	464
693	1049	462
694	1050	461
695	1051	459
696	1052	457
697	1053	455
698	1055	454
699	1057	453
700	1059	451
701	1060	450
702	1061	448
703	1063	446
704	1064	445
705	1065	443
706	1066	441
707	1067	440
708	1069	438
709	1070	437
710	1072	435
711	1073	434
712	1074	432
713	1075	430
714	1076	429
715	1078	427
716	1080	426
717	1081	424
718	1082	423
719	1083	421
720	1085	419
721	1087	418
722	1088	417
723	1089	415
724	1091	413
725	1092	412
726	1094	410
727	1095	409
728	1096	407
729	1097	405
730	1098	404
731	1100	402
732	1101	401
733	1102	399
734	1104	398
735	1105	396
736	1106	394
737	1107	393
738	1108	391
739	1109	389
740	1110	388
741	1111	386
742	1113	385
743	1114	383
744	1116	382
745	1117	380
746	1118	378
747	1120	377
748	1121	375
749	1122	374
750	1123	372
751	1124	370
752	1126	369
753	1127	367
754	1129	366
755	1131	365
756	1132	363
757	1133	361
758	1134	360
759	1135	358
760	1137	357
761	1138	355
762	1139	353
763	1140	352
764	1141	350
765	1144	349
766	1145	348
767	1146	346
768	1148	344
769	1149	343
770	1150	341
771	1152	340
772	1153	338
773	1154	337
774	1155	335
775	1157	334
776	1159	332
777	1160	331
778	1162	329
779	1163	328
780	1164	326
781	1165	324
782	1166	323
783	1168	321
784	1169	320
785	1170	318
786	1171	317
787	1173	315
788	1175	314
789	1176	312
790	1177	311
791	1178	309
792	1180	308
793	1181	306
794	1182	304
795	1183	303
796	1184	301
797	1185	300
798	1188	298
799	1189	297
800	1190	295
801	1192	294
802	1193	292
803	1194	291
804	1195	289
805	1196	288
806	1197	286
807	1199	285
808	1201	283
809	1202	282
810	1204	280
811	1206	279
812	1207	277
813	1208	276
814	1209	274
815	1211	273
816	1212	271
817	1213	269
818	1214	268
819	1215	266
820	1217	265
821	1219	264
822	1220	262
823	1221	260
824	1222	259
825	1223	257
826	1224	256
827	1225	254
828	1226	252
829	1227	251
830	1228	249
831	1230	248
832	1232	247
833	1234	245
834	1235	244
835	1236	242
836	1237	240
